Unique.ID,Radar Stations,X,Y,X.Lon,Y.Lat,X.75.N,Y.75.N,X.75.S,Y.75.S,X.75.E,Y.75.E,X.75.W,Y.75.W,X.150.N,Y.150.N,X.150.S,Y.150.S,X.150.E,Y.150.E,X.150.W,Y.150.W
24,KABR,-170679.295,2562157.763,-98.2014095590708,46.0299179287448,-170679.295,2637157.763,-170679.295,2487157.763,-95679.295,2562157.763,-245679.295,2562157.763,-170679.295,2712157.763,-170679.295,2412157.763,-20679.295,2562157.763,-320679.295,2562157.763
25,KABR,-250675.084,2520678.465,-99.2144355689134,45.6359991905835,-250675.084,2595678.465,-250675.084,2445678.465,-175675.084,2520678.465,-325675.084,2520678.465,-250675.084,2670678.465,-250675.084,2370678.465,-100675.084,2520678.465,-400675.084,2520678.465
26,KABR,-179567.716,2443645.483,-98.2793530759472,44.9619998739161,-179567.716,2518645.483,-179567.716,2368645.483,-104567.716,2443645.483,-254567.716,2443645.483,-179567.716,2593645.483,-179567.716,2293645.483,-29567.716,2443645.483,-329567.716,2443645.483
27,KABR,-206232.979,2529566.886,-98.6480507103212,45.7283109888821,-206232.979,2604566.886,-206232.979,2454566.886,-131232.979,2529566.886,-281232.979,2529566.886,-206232.979,2679566.886,-206232.979,2379566.886,-56232.979,2529566.886,-356232.979,2529566.886
28,KABR,-158828.067,2505864.43,-98.033071422155,45.5255479414896,-158828.067,2580864.43,-158828.067,2430864.43,-83828.067,2505864.43,-233828.067,2505864.43,-158828.067,2655864.43,-158828.067,2355864.43,-8828.067,2505864.43,-308828.067,2505864.43
29,KABR,-212158.593,2467347.939,-98.7013922993685,45.1672867161791,-212158.593,2542347.939,-212158.593,2392347.939,-137158.593,2467347.939,-287158.593,2467347.939,-212158.593,2617347.939,-212158.593,2317347.939,-62158.593,2467347.939,-362158.593,2467347.939
30,KABR,-138088.418,2508827.237,-97.7683659697799,45.5559357568824,-138088.418,2583827.237,-138088.418,2433827.237,-63088.418,2508827.237,-213088.418,2508827.237,-138088.418,2658827.237,-138088.418,2358827.237,11911.582,2508827.237,-288088.418,2508827.237
31,KABR,-221047.014,2538455.307,-98.8415663801898,45.8044554832754,-221047.014,2613455.307,-221047.014,2463455.307,-146047.014,2538455.307,-296047.014,2538455.307,-221047.014,2688455.307,-221047.014,2388455.307,-71047.014,2538455.307,-371047.014,2538455.307
32,KABR,-161790.874,2437719.869,-98.0521517765545,44.9124107565584,-161790.874,2512719.869,-161790.874,2362719.869,-86790.874,2437719.869,-236790.874,2437719.869,-161790.874,2587719.869,-161790.874,2287719.869,-11790.874,2437719.869,-311790.874,2437719.869
33,KABR,-194381.751,2467347.939,-98.4751487281432,45.1716388420156,-194381.751,2542347.939,-194381.751,2392347.939,-119381.751,2467347.939,-269381.751,2467347.939,-194381.751,2617347.939,-194381.751,2317347.939,-44381.751,2467347.939,-344381.751,2467347.939
